date,headline,body,author,category,url
6-Dec-06,"Men's clothing can be feminine, flirty","Shacking may once have been the reason girls wore their boyfriend's clothes, but this is no longer the case according to today's fashion designers.
It has become uber-trendy for women to yearn for the clothing in their man's closet.
Fashion leaders have designed menswear for women, and according to New York Magazine this trend is taking over for the winter season.


 


Starting with outerwear, it is clear why men's clothing has an influence on new designs for women.
Belted trench coats and tweed jackets are suitable in cold weather yet have details that make them flirty enough for women to wear. Such jackets are tailored slimmer for women, but still allow the wearer to exude a powerful and influential vibe.
Tailored and sweater vests are popular looks for women this winter, both influenced by the ever-popular three piece suit.
While women who wear this look often choose to go without a suit, the addition of a vest spices up a plain outfit.
Oxford shirts have always reigned as popular for women who steal their boyfriend's favorite top, but with a twist and a belt, girls can make this shirt memorable.
A simple yet classic twist that women can add to the Oxford shirt is gold cuff links. These do not have to be expensive and creativity is key, so experiment with jewel tones and faux diamonds, something the men in your life surely do not take advantage of.
Going along with updating men's formal wear, the tuxedo coat or tailcoat is fabulous on a woman. Although you may think that Diane Keaton is the only girl to ever don the tux, many fabulously feminine celebrities have been spotted wearing tuxedo tops and black slacks.
Tuxedo pants are also great on women, and fitted blouses perfectly accentuate this look.


 


If accessorizing yourself in your man's closet sounds appealing, then make sure to look out for big and bold face watches. The bigger and bulkier, the better when it comes to picking out watches for women this winter.
Silver, gold or white (think Chanel-style) links with black or white faces will make your wrist visible from miles away.
Men's shoes are also in style for women this winter. Black or brown flat riding boots are flattering on any woman and a classic style you could hold onto for life.
Frye cowboy boots are durable, high-quality boots that are mal- inspired, but popularized by stylish women.
Next time you are in a man's closet, check out these items, or just hit the stores this winter for a full selection of styles.
- Emily Samuels writes a weekly fashion column for The Red & Black",The Red And Black Archives,variety,https://www.redandblack.com/variety/men-s-clothing-can-be-feminine-flirty/article_0af3e22c-4739-5d54-8b3a-0f09d522d7d6.html
19-Aug-10,SEC RUNDOWN: LSU,"The Louisiana State Tigers find themselves in an unfamiliar role heading into the new football season — as sleepers.
The Tigers, a perennial power in the South-eastern Conference, were picked to finish fourth in the Western division this season by the media,  marking the first time the Tigers were not projected to be first or second place in the West since 1999.
 


 


“I believe we deserve it, having a lot of young guys coming in and not finishing things right in the last couple of years,” All-SEC defensive back Patrick Peterson said. “It’ll give us motivation to fix things, to just finish strong.”
Linebacker Kelvin Sheppard said he agrees.
“It’s more on the motivational side,” he said. “It’s the preseason rankings, and hopefully towards the end of the year we’re at the top of the list.”
Not surprisingly, Tigers head coach Les Miles — who posted a 34-6 record in his first three seasons at LSU, including a national title in 2007 — has been questioned about being on the hot seat.
Miles does not seem to be worried about his job security, though.
“I’m very fortunate to have a good contract,” he said. “I don’t think that’s the issue. 
“I think the issue is preparing my football team.”
And despite what media prognosticators expect of them, Miles exuded confidence at SEC Media Days.


 


“It will only be a championship season, and that’s the only point and direction of this program,” he said. “That’s where we’re headed.",Ryan Black,sports,https://www.redandblack.com/sports/sec-rundown-lsu/article_5abe1b1b-e476-523b-a123-8d5d844b63c0.html
16-Sep-10,"HOUSTON, THEY HAVE A PROBLEM","As soon as Demarcus Dobbs heard Georgia would be installing a new 3-4 scheme under Todd Grantham, he knew instantly Justin Houston would thrive.
“I said that from the beginning when people were asking me about the new 3-4. I told everyone the people that we had at defensive end, like Justin Houston, this is the perfect system for their type of play,” Dobbs said. “It fit him perfectly. It’s his time to shine now, and he’s showing everybody what he can do.”
Houston’s results speak for themselves thus far this season.


 


In his first two games as an outside linebacker, Houston has already amassed three sacks — 11th in the country individually.
Houston said it hasn’t been as much of an adjustment because about “50 percent” of the time he’s still lining up with his hand on the ground as a 4-3 defensive end in Georgia’s nickel package. And as a stand-up outside linebacker, his main responsibility remains the same as a 4-3 defensive end: Hit the quarterback.
“[Outside linebacker] is going pretty good. I’d be even more happy [with my play] if we had won last Saturday,” Houston said. “For us to win, I got to turn it up a little, so I’m still disappointed in myself. I feel like if I had done more that last game, the game would have been a different outcome. I still got a long ways to go with myself.”
It’s hard to ask for much more from a linebacker than a career-high 10 tackles, two sacks and a momentum-flipping forced fumble Houston produced in the loss to South Carolina.
It’s that same team-first attitude that Houston responds with when asked if he has any goals he’s striving for after finishing second in the SEC in sacks a season ago with 7.5, despite playing in just 10 games.
“I haven’t set any individual goals. Whatever comes, comes,” Houston said. “I’ll look at the stats at the end of the season. Right now I’m just worrying about the victories.”
And for Georgia to escape with a victory on Saturday against Arkansas, the need for a strong rush is greater than any game Georgia may play all season, with Arkansas’ Ryan Mallett, the SEC’s top quarterback, heading to town.
“If you can put pressure on Mallett, and get him moving, that’s a big difference in the game,” Houston said. “He’s got a cannon, so if you just sit there and let him throw, he’ll pick you apart. We’re going to try to put pressure on him and make him move his feet a little more than normal.”


 


Family matters
What’s made this season special so far hasn’t been the individual numbers Houston’s accumulated, but rather, being able to look to his side and know his “brother” — DeAngelo Tyson — is right there with him.
Tyson, a junior, isn’t biologically related to Houston, a redshirt junior, but when you’ve been best friends as long as they have, a reference to family seems more appropriate.
“Me and DeAngelo, we’re like brothers. We’ve known each other since middle school. We started playing ball together when we were in middle school and ever since I’ve played ball he has been on the squad with me,” Houston said. “We are very close, and we’ve been very close for a long time.”
Now, just like they did in high school for three years, Houston is starting alongside Tyson, who plays nose tackle, along the Georgia front seven.
“It’s been great, especially this year he’s actually out there starting with me,” Houston said. “I can look to the side and feel comfortable with this guy playing because I know he’s going to do his job and do what he’s supposed to do because I’ve been playing with him for a while.”
The fact that they’re playing together now is a welcome change from the first time the two met — a meeting that Houston says began his awakening as an athlete.
That meeting came at a middle school basketball team tryout when Houston was in seventh grade, and Tyson, a sixth grader, was selected for the team over Houston — a selection Houston strongly disagreed with.


TNCMS.AdManager.render({region: 'fixed-big-ad-bottom-asset', slot: 1, fold: ""below""});


“I really did feel like I was better than DeAngelo at the time,” Houston said, laughing. “I felt like I was a lot better than him and he made the team over me, but that did motivate me a lot to work hard.”
Added Tyson: “Ever since then that’s the joke that we always used to tell, that I made the sixth grade basketball team and he didn’t. And I think that motivated him to become the great player that he is today, because the next year he was a good player, and we were like, ‘Where did it come from?’”
Ironically, it was Houston selecting the team the two would play for in college, as Tyson told Houston when he was being recruited that “wherever you go, I’m coming there.”
Sure enough, a year after Houston signed with Georgia, Tyson did the same.
“Part of it was Justin, but I also came here because I like Coach [Rodney] Garner. He’s like a father figure in my life,” Tyson said.
Ever since then, the duo has been motivating each other, just as they did nine years ago in that middle school gym.
And although they are teammates now and don’t get to spend much time on the hardwood anymore, they still compete.
“We’re always in the room playing video games, talking trash to each other,” Houston said. “It’s about 50/50 who wins. It depends on what game we’re playing.”

Houston’s game of choice is NBA 2K, while Tyson prefers NCAA College Football. One thing both can agree on, though, is their “pride” in representing Statesboro.
“[Everyone back home] supports us very much,” Houston said. “They send us text messages before and after every game. If they don’t talk to me, they talk to him, asking us how we’re doing, so they support us a lot.”
That hometown support dwarfs in comparison to the support they have for each other, though.
“If he makes a big play on the field, I’m going to go up and congratulate him, same as if I do something like that. I think we have a bond together,” Tyson said.
It is not the type of bond that comes from friendship, it’s more than that.
It’s “more like brothers.”",Nick Parker,sports,https://www.redandblack.com/sports/houston-they-have-a-problem/article_ff868530-7c83-5dda-84f4-6eb9341ed843.html
7-Oct-10,Engineering majors could be approved next week (w/documents),"Next week will mark a crucial step in the University’s path to getting a school of engineering.
John Millsaps, spokesman for the Board of Regents, said the University submitted three different proposals for new undergraduate majors — civil engineering, mechanical engineering and electrical and electronics engineering.
“It’s on the agenda for the meeting next week,” Millsaps said. He said he could not speak as to the factors the Regents would use to make their decision, but said there was a formalized process of getting the proposal to them.


 


If the three new majors are approved, Millsaps said the rest is up to the University.
“The Regents approve the overall degree program, but once the Regents approve it, it is the responsibility of the academic institution to put it in place,” he said.
University officials would not comment on the proposals, only to clarify they were for engineering majors, not for a school of engineering.
“We’re reserving comments beyond the materials we’ve already submitted,” said Tom Jackson, vice president for public affairs.
Scott Angle, dean of the College of Agricultural and Environmental Sciences — where two of the University’s existing engineering degrees, agricultural and biological engineering, are housed — said in an interview last week he could not comment on the progress being made.
“We will still have a department of biological and agricultural engineering, but if those [new majors] happen, those faculty will have a joint appointment,” Angle said.
He said CAES might lose some students if the University gets these new majors, and especially if it is later approved for a school of engineering.
“The three proposed engineering degree programs will address significant needs in Georgia by providing a greater number of graduates to meet engineering workforce demands and expanding access to engineering education opportunities for Georgia residents,” the civil engineering proposal from University President Michael Adams states.


 


“Without engineering and medical schools, UGA has been unable to tap into the expanding federal funds for engineering and medical research, the two major sources of research funds for most academic institutions.”
The need for research is what Agan Tankersley, a senior agricultural engineering major from Swainsboro, said was one reason the University should already have an engineering school.
Tankersley said the proposed majors could mean significant changes for students already in the engineering programs.
“Depending on the curriculum for those majors, I do think they will affect the numbers of people in ag engineering,” he said.
Miles Keeney-Ritchie, a fifth-year agricultural engineering major from Atlanta, said the curriculum now is very broad, but the small program size limits the opportunities students have outside of the classroom.
“What the program does now is give us a sort of really broad base. Many engineers who graduate from UGA work in fields where they didn’t get their degrees in,” he said. “In one sense, we’d be losing some of the breadth of our program, but in another we’d be going more in-depth in the field we actually want to work in.”
Keeney-Ritchie said if he were at the University  when the majors were implemented, assuming they get approved next week, he would “definitely” change his major to mechanical engineering, instead of pursuing a mechanical emphasis.
“I actually don’t have much of an interest in ag engineering,” he said. “Though I find it fascinating, it’s not what I really want to do.”


TNCMS.AdManager.render({region: 'fixed-big-ad-bottom-asset', slot: 1, fold: ""below""});


Tankersley, however, said he would not change his major if he had the opportunity.
“However, if I were a freshman just entering UGA, I would change my major to civil engineering,” he said. “When I say what my major is, I get, ‘Ag engineering? What’s that?’”
Had Tankersley — whose emphasis is natural resources — and Keeney-Ritchie been University students 180 years ago, they would both have had the opportunity to major in mining, mechanical, electrical or civil engineering, all of which were offered beginning in 1830 and when the University had its School of Engineering in 1880.
Agricultural and biological engineering undergraduate degrees were not added until 1929 and 1993, respectively. All other engineering programs were transferred to Georgia Tech in 1932.
“I really, really enjoy the department and the program, and I don’t think ill of it in any way,” Keeney-Ritchie said. “Our program is a lot smaller and doesn’t have the resources that Tech has. … It limits the ability of students to excel. I wish there was a UGA school of engineering already.”
Document Link",Dallas Duncan,news,https://www.redandblack.com/news/engineering-majors-could-be-approved-next-week-w-documents/article_c0647ce0-b132-55d5-bbbf-d6548c98df38.html
14-Oct-10,Student arrested on child pornography charges (w/documents),"A University student was arrested Wednesday at about 7 p.m. and charged with sexual exploitation of a child. He was sought in connection with the discovery of child pornography on a computer he owned.Officials found three child porn photos on his computer. According to an earlier Red & Black report, University Police began investigating the case on Sept. 28 after receiving a report from  law enforcement in Minneapolis that a technical support company found the porn on his computer.University Police Chief Jimmy Williamson said all three images were of children under the age of thirteen.


 


“From the images I’ve seen, all of the photos are preteen,” Williamson said.According to Athens-Clarke County court documents, two of the images were deleted and one was found in a LimeWire folder labeled “incomplete downloads.” Williamson said none of the images were taken by the student. “If he had taken the photos, the charges would have been different. People in the U.S. who are interested in that sort of thing kind of assume that if they take the picture, they’ll go to jail,” he said. “[Law officials] found years ago that many of these images were coming from foreign countries, where we had no way to help. Law enforcement in the U.S. decided that we were indirectly helping an industry that harms children, and so we developed laws for possessing child porn as well.”Williamson said he did not know if the images originated from foreign countries.The case against the student was dismissed because the images were recovered from the deleted files on his computer, which, according to the Georgia Supreme Court, is not evidence that he was actually in possession of the images. -Editor's Note: The students name has been removed from this article due to the nature of the dismissal of his case.",Tiffany Stevens,news,https://www.redandblack.com/news/student-arrested-on-child-pornography-charges-w-documents/article_2e159951-ee44-52c5-9a93-9b68055f7170.html
18-Oct-10,Former employee will still pursue sludge suit (w/documents),"When a United States District Court Judge dismissed a lawsuit concerning a University research study, David Lewis decided to fight back.
Lewis, a former University employee and plaintiff in the suit, said he will appeal last month’s decision.
The defendants in the suit are four University researchers, Environmental Protection Agency employees and the University Research Foundation.


 


The four researchers studied the toxicity of treated sewage sludge being used as fertilizer in Augusta. They investigated the issue and analyzed soil samples, concluding that Augusta’s sewage sludge program complied with environmental laws and did not pose a significant risk to cattle.
But Lewis said the researchers’ findings weren’t entirely true.
“It was all adding up to what looked like nothing but a cover-up,” said Lewis, a University alumnus. “Not only were the studies incomplete and came to wrong conclusions... the employees who created the data admitted they had made up the numbers.”
But William Miller, a professor of soil science and one of the researchers, said otherwise.
“I do not think there was any fabricated or misleading data, to my knowledge,” he said.
The allegedly fabricated study is all the more important, Lewis said, because it was used for other purposes. The University researchers received a $12,274 grant from the EPA in connection with the study, and after its completion, the National Academy of Sciences used the data as proof that sewage sludge was safe.
Lewis said he urged the University to withdraw the data, but when it “dug its heels in,” he took legal action. Although he said it was “clear that EPA approached the University of Georgia to publish data they knew were fake,” he was “naive” and did not realize how hard it would be to win the lawsuit.
The final decision to dismiss was based on a small but important detail of the False Claims Act.


 


Lewis and the dairy farmers whose farms were treated with the sludge and who were also involved in the suit used a document they obtained through a public records request as evidence. But the FCA is only applicable if the information is not publicly disclosed or if the people suing under the FCA are the original source of the publicly disclosed information.
The lawsuit hinged on whether information obtained through a public records request could be considered original information. In most cases, courts have ruled that information obtained through an open records request is publicly disclosed. But some courts have made a distinction between information that is publicly available and publicly disclosed, and argued that open records information is not publicly disclosed.
“I thought the judge was unlikely to take the position he did, because we had a strong case,” Lewis said.
Tom Jackson, the University’s vice president for public affairs, said he could not discuss the suit because litigation is still in process.
“To this point, the University’s position has prevailed,” he said.
And though Lewis and the dairy farmers will continue to fight, it’s going to be an uphill battle.
“The truth is, the dairy farmers and I have already lost everything,” he said. “We don’t have the wherewithal to keep this legal battle up.”
The farmers lost their dairy farms and their livelihood after the sewage sludge contaminated their land.


TNCMS.AdManager.render({region: 'fixed-big-ad-bottom-asset', slot: 1, fold: ""below""});


Lewis lost his career as a scientist, as well as his personal savings, which he spent on the suit.
“I’m fighting not only for the government to get its money back... but I’m also fighting for my career and reputation,” he said. “What UGA did to me to destroy my career as a scientist — it looks like they’re going to get away scot-free.”
Motion to Reconsider
District Court Order",Briana Gerdeman,news,https://www.redandblack.com/news/former-employee-will-still-pursue-sludge-suit-w-documents/article_bac0453b-8dcc-5aee-aad2-0729d3c2c17a.html
25-Oct-10,Dogs playing up to preseason expectations,"This was how things should have gone all along.
The pieces are all in place, the cylinders are all clicking.
Georgia football is finally living up to expectations, if only three or four losses later than supporters imagined.


 


Now, another dominant victory over an SEC opponent has left a once-unlikely question lingering: Is Georgia the best team in the SEC East?
Georgia’s 44-31 handling of the Kentucky Wildcats on Saturday certainly has the question of which team is the division’s best now up in the air — a 180-degree turnaround from being a beleaguered 1-4 squad three weeks ago. As the rest of the division’s top teams gave away wins to inferior opponents, the one-time disappointment of the entire conference has now convincingly routed three conference opponents in a row.
Perhaps this is as it should have been.
The Bulldogs approached this season with the confidence that they were going to perform at this high of a level all season long.
The offensive line was supposed to be dominant — as it was against Kentucky, paving the way for 177 yards and five scores on the ground. The passing game was supposed to be efficient — as it was against the Wildcats, completing 9-of-12 passes to keep the defense from loading eight defenders in the box. All that has happened in the past three weeks has represented what was supposed to define the 2010 season.
And all that has happened in the past three weeks has conjured up the possibility that the Georgia Bulldogs are the best team around.
Were this a normal year in the SEC East, this would be a meaningless question — one proposed by Georgia pundits with nothing better to discuss about their disappointing season. A 4-4 record, no matter the recent quality of play, would generally bury any team in such an elite division of college football.
But 2010 has not been a normal year.


 


This 4-4 record is different. Reaching .500 has the Bulldogs hoping and dreaming.
And honestly, why not?
South Carolina, who once held a commanding lead in the division, has fallen into its traditional late-season tailspin after a loss to Kentucky and outlasting an underwhelming Vanderbilt squad. Georgia would still need South Carolina to lose two more SEC games to have an opportunity at the title game, but with the Gamecocks’ upcoming games against Arkansas, Tennessee and Florida, never say never.
As for the Gainesville, Fla., bunch, times are looking bleak for the 2010 season.
Losses to Alabama, LSU and Mississippi State have the Gators reeling in one of their worst starts under Urban Meyer, and their 2-3 record in the conference has Georgia’s season looking more and more respectable.
The rest of the division? Floundering and already beaten by the Bulldogs.
Given this scenario, next week’s Florida game will indeed be a must-win for Georgia, as every SEC game will be from here on out. Mark Richt needs to find a way to keep this momentum going, whether it be continuing to execute full-contact practices or letting his players’ facial hair grow out to “Cast Away” proportions.
Whatever it takes, Georgia needs to bring home a win from Jacksonville, Fla., next weekend. This 4-3 Florida team is not playing at a high level, but never discount anything in rivalry games. The Gators will present the Bulldogs with the most athletic team they have faced in weeks, possibly the entire season.


TNCMS.AdManager.render({region: 'fixed-big-ad-bottom-asset', slot: 1, fold: ""below""});


And Florida enters this year’s version of The World’s Largest Outdoor Cocktail Party (yes, I still call it that), with a new form of motivation, one that is not a commonality in recent years — desperation.
But in spite of Florida’s athleticism or questionable reinstatements of a key skill player (i.e. Chris Rainey), the time could not be better for Richt to beat Meyer and put his team firmly back into the SEC picture. It can happen, the possibility exists.
The reason? Georgia — despite all odds — just might be the best team in the division after all.
And if fans really want a definitive answer on the issue, it will be solved in front of the nation on Saturday at EverBank Field.
Until then, here is the only surefire conclusion: Maybe.",Zach Dillard,sports,https://www.redandblack.com/sports/dogs-playing-up-to-preseason-expectations/article_0ead7efe-bfba-5354-a7ca-3ca9f4d04df5.html
17-Nov-10,Justin Houston finalist for Bronko Nagurski Trophy,"Georgia junior Justin Houston has been named one of five finalists for the Bronko Nagurski Trophy, which is given annually to the nation’s top defensive player.
Houston is one of only five finalists who have been picked from the initial Watch List of 74 players.  The annual Bronko Nagurski Trophy Banquet will be on Dec. 6 at the Westin Hotel in Charlotte, N.C., where the winner will be announced.  The Football Writers Association of America and the Charlotte Touchdown Club determine the winner and present the award.
The four other finalists include two other players from the Southeastern Conference (LSU junior CB Patrick Peterson, Auburn junior DT Nick Fairley) and a pair from the ACC (Clemson junior DE Da’Quan Bowers, Boston College sophomore LB Luke Kuechly).


 


Houston, a 6-3, 258-pound native of Statesboro, remains the SEC leader in sacks by 2.5 with 10 and is second in the league with 17.5 tackles for loss.  He is third on Georgia’s defense with 50 tackles this season.
Playing his first season at outside linebacker after lining up as defensive end his first three years, Houston has the most sacks and tackles for loss of any active SEC player and has recorded at least one tackle for loss in all 11 games this year.  He had a combined total of 10.0 sacks and 19.5 tackles for loss during the 2008 and 2009 seasons.
Houston was named the SEC Defensive Player of the Week after exploding for five tackles, including two sacks and three tackles for loss, and seven quarterback hurries while also recovering a fumble and breaking up a pass at Kentucky earlier this year.
Thanks in part of Houston’s presence, the Bulldogs have forced 20 turnovers and converted them into 80 points.  Georgia’s turnover margin (+8) leads the SEC and is tied for 18th in the nation.
Former Bulldog All-American Champ Bailey is the only Georgia player to win the Nagurski Trophy after receiving the honor in 1998.
Houston has already been named one of 15 semifinalists for the Butkus Award and one of 16 semifinalists for the Bednarik Award this season.  Both of these awards are scheduled to announce their finalists early next week.
After an off-week on Nov. 20, the Bulldogs (5-6, 3-5 SEC) host Georgia Tech (5-5, 3-4 ACC) on Nov. 27 at 7:45 p.m. Georgia’s game will be televised on ESPN, which is the second time the network has covered the Bulldogs this season.",Georgia Sports Communications,sports,https://www.redandblack.com/sports/justin-houston-finalist-for-bronko-nagurski-trophy/article_53dcf91d-8fd1-5d4a-8ee5-c11c5cdb6429.html
3-Dec-10,"Alumna publishes second book, prepares for third in spring","Jackson Pearce probably will never meet all her goals, but that doesn’t stop the University alumna from considering herself a success.
Pearce, a 2007 graduate who majored in English and minored in Philosophy, has published two books since her time in Athens: 2009’s “As You Wish” and 2010’s “Sisters Red.”
A third book is set and should be released in Spring 2011.


 


“My goal was to get a book published and that would equal success,” Pearce said. When that happened, “then the goal was to get another published, then to hit The New York Times’ best-seller list.”
Although that may not have happened — yet — Pearce is happily entertained by raising the bar for herself each time she accomplishes one of her goals.
“The moment you hit one goal there’s another one,” Pearce said. “I’m not satisfied, but I’m happy.”
Pearce has always wanted to write, a skill that is more or less the result of a life-long passion for reading.
According to Pearce’s biography -— published by HarperTeen, an imprint of publishing house HarperCollins that put out “As You Wish” -— she “began writing when she got angry that the school librarian couldn’t tell her of a book that contained a smart girl, horses, baby animals and magic. Her solution was to write the book herself when she was twelve.”
Today, Pearce does seemingly the same thing; she writes what makes her happy.
“The genre I write in is the genre I like to read,” Pearce said.
That genre is young adult, or YA, novels — a genre familiar to University students who admire J.K. Rowling’s mega-popular magical series “Harry Potter,” or Suzanne Collins’ “The Hunger Games” trilogy, Laurie Halse Anderson’s “Speak,” or the vampire-werewolf hit “Twilight” by Stephenie Meyer.


 


“[For YA books] the drama is often said to be trivial and silly,” Pearce said. “But everything is a really big deal, it’s 1,000 times stronger, when [young adults] experience something for the first time. YA books are for anyone who has ever been a teenager, who’s succeeded, failed, loved or lost a friend.”
That universalism in audience and theme is the driving force behind Pearce’s writing, but the path to publication for “As You Wish” was almost as dramatic as the topics she writes on.Pearce began her undergraduate education at Georgia College and State University in Milledgeville before she decided to transfer to the University after only one year.
“Athens is a cool, funky town and I was drawn to the marching band ---— though I ended up not doing it for very long,” Pearce said. “[What] I didn’t realize was how different English programs could be.”
Even with the change, Pearce’s aspirations to publish weren’t deterred.
“I spent my fourth year cleaning up my first manuscript to make it submission ready,” Pearce said. “I sent it in at the beginning of my fifth year and everyone rejected it.”
In response, Pearce began working on another book, completing it and submitting it during her last semester.
“I got an agent in June and sold it in the fall,” Pearce said.
Both “As You Wish” and “Sisters Red” have received very good critical success, earning starred reviews in the School Library Journal and inclusion in school and college curricula.


TNCMS.AdManager.render({region: 'fixed-big-ad-bottom-asset', slot: 1, fold: ""below""});


For University students whose hopes mirror Pearce’s own during her time in Athens, she has a bit of advice to give:
“It’s important to remember that when you receive a rejection it’s not saying that you’re a worthless artist, what it is saying is that you may be a bad business decision right now,” Pearce said. “[You need to] separate business from pleasure, books do have prices on them and the publishing industry is set up to weed out people that don’t want it enough.”
But if the want is there, and one’s skill is equal, success isn’t out of the question.
“You must be stronger than the business,” Pearce said. “Write for the love of it and not because it pays your bills.”
When: Tonight at 7
Where: Borders
More Information: Jackson Pearce will sign copies of her books and give a free reading.
Additional lecture: Pearce  will discuss the process of

publishing a book from an author’s perspective today from noon to 3 p.m. in room 261 of Park Hall.",Elaine Kelch,news,https://www.redandblack.com/news/alumna-publishes-second-book-prepares-for-third-in-spring/article_3e77195d-de84-5875-9e31-f8ff10d2b5ad.html
19-Jan-11,New recruit ready to ‘hit some people in the mouth’,"Ferocity — perhaps the single most important quality in linebacker play, and also perhaps the single aspect lacking from Georgia’s linebackers over the past several years. 
But a changing of the guard is coming to Athens, and ferocity is coming with it.
“It’s going to be intense. We are going to fly all over the place and make some turnovers,” said Amarlo Herrera, a 6-foot-1, 224-pound linebacker out of North Clayton High School.


 


With the departure of Justin Houston, Darryl Gamble and Akeem Dent, as well as Nick Williams and Marcus Dowtin being released from their scholarships, the 2011 linebacking corps under defensive coordinator Todd Grantham will need Herrera to help anchor the load. 
North Clayton head coach Rodney Hackney believes he can do just that.
“I think he will definitely be able to play early on. You know, he’s going to have work his butt off because the SEC is a whole new level, but I think he can do it,” Hackney said.
With the 3-4 scheme employed by Georgia and all the complicated blitzing patterns that go along with it, Hackney said he knows Herrera will have to put his nose in the playbook.
“We ran some of it [3-4 scheme] here, but it was nowhere near as complex as what Georgia’s doing,” Hackney said. “Amarlo will most definitely have to study to get it down.”
Herrera’s goals are not limited to himself — he wants to play a small part in developing a level of consistent success at the University of Georgia.
“We want to make a dynasty,” he said. “Me and the other guys coming with me want to build a dynasty. We want to win everything.”
One of the guys coming with him will be fellow linebacker and most recent Georgia commitment Ramik Wilson out of Tampa, Fla.


 


“I met Ramik this summer when he first got offered,” Herrera said. “We played together in the Offense-Defense All–American game. We roomed together there.”
Anchored by converted running back Richard Samuel and Southern California transfer Jarvis Jones, the inside linebackers will have a nice infusion of depth with the arrival of Herrera and Wilson. Herrera said the duo plans to bring the pain that’s expected from great linebackers.
“All I know is that we are going to hit some people in the mouth this year,” Herrera said.",Travis Ragsdale,sports,https://www.redandblack.com/sports/new-recruit-ready-to-hit-some-people-in-the-mouth/article_a72733f3-6573-5f72-9610-5de441f4b384.html
